Time,cont,disc
0.342,0.00882627792506011,0.000663769597869348
0.343,0.0087974661603518,0.000636435580140586
0.344,0.00876598870461163,0.000609101562411823
0.345,0.00873193234907541,0.000581767544683061
0.346,0.00869538248044398,0.000554433526954298
0.347,0.00865642308639674,0.000527099509225536
0.348,0.00861513676150318,0.000499765491496774
0.349,0.00857160471351878,0.000472431473768011
0.35,0.00852590677005226,0.000445097456039249
0.351,0.0084781213855911,0.000425056373471007
0.352,0.00842832564887253,0.000405015290902765
0.353,0.00837659529058755,0.000384974208334523
0.354,0.00832300469140554,0.000364933125766281
0.355,0.00826762689030743,0.000344892043198039
0.356,0.0082105335932155,0.000324850960629797
0.357,0.00815179518190808,0.000304809878061555
0.358,0.00809148072320784,0.000284768795493313
0.359,0.00802965797843219,0.000264727712925072
0.36,0.007966393413095,0.000244686630356831
0.361,0.00790175220684853,0.000230600182178231
0.362,0.0078357982636552,0.00021651373399963
0.363,0.00776859422217864,0.00020242728582103
0.364,0.00770020146638377,0.00018834083764243
0.365,0.00763068013633603,0.00017425438946383
0.366,0.00756008913918981,0.000160167941285229
0.367,0.0074884861603566,0.000146081493106629
0.368,0.00741592767484324,0.000131995044928029
0.369,0.00734246895875136,0.000117908596749428
0.37,0.00726816410092859,0.000103822148570828
0.371,0.00719306601476311,9.44282152008665e-05
0.372,0.00711722645011258,8.50342818309047e-05
0.373,0.00704069600535913,7.5640348460943e-05
0.374,0.00696352413958214,6.62464150909813e-05
0.375,0.00688575918484072,5.68524817210195e-05
0.376,0.00680744835855792,4.74585483510578e-05
0.377,0.00672863777599903,3.80646149810961e-05
0.378,0.00664937246283639,2.86706816111344e-05
0.379,0.00656969636779331,1.92767482411726e-05
0.38,0.00648965237535999,9.88281487121089e-06
0.381,0.00640928231857432,4.05980418241394e-06
0.382,0.00632862699186075,-1.76320650638301e-06
0.383,0.00624772616392057,-7.58621719517995e-06
0.384,0.00616661859066706,-1.34092278839769e-05
0.385,0.00608534202819915,-1.92322385727738e-05
0.386,0.0060039332458074,-2.50552492615708e-05
0.387,0.00592242803900626,-3.08782599503677e-05
0.388,0.0058408612425868,-3.67012706391647e-05
0.389,0.00575926674368411,-4.25242813279616e-05
0.39,0.00567767749485381,-4.83472920167586e-05
0.391,0.00559612552715238,-5.15515172866944e-05
0.392,0.00551464196321583,-5.47557425566303e-05
0.393,0.00543325703033183,-5.79599678265661e-05
0.394,0.00535200007350017,-6.11641930965019e-05
0.395,0.00527089956847674,-6.43684183664378e-05
0.396,0.00518998313479647,-6.75726436363736e-05
0.397,0.0051092775487705,-7.07768689063094e-05
0.398,0.00502880875645331,-7.39810941762453e-05
0.399,0.00494860188657546,-7.71853194461811e-05
0.4,0.00486868126343787,-8.03895447161169e-05
0.401,0.00478907041976353,-8.17525695683957e-05
0.402,0.00470979210950286,-8.31155944206745e-05
0.403,0.00463086832058887,-8.44786192729533e-05
0.404,0.00455232028763856,-8.5841644125232e-05
0.405,0.00447416850459707,-8.72046689775108e-05
0.406,0.00439643273732106,-8.85676938297896e-05
0.407,0.00431913203609818,-8.99307186820683e-05
0.408,0.00424228474809948,-9.12937435343471e-05
0.409,0.00416590852976164,-9.26567683866259e-05
0.41,0.00409002035909606,-9.40197932389047e-05
0.411,0.00401463654792222,-9.41545172335549e-05
0.412,0.00393977275402233,-9.42892412282052e-05
0.413,0.0038654439932148,-9.44239652228555e-05
0.414,0.00379166465134408,-9.45586892175058e-05
0.415,0.00371844849618433,-9.4693413212156e-05
0.416,0.00364580868925482,-9.48281372068063e-05
0.417,0.00357375779754468,-9.49628612014566e-05
0.418,0.00350230780514498,-9.50975851961069e-05
0.419,0.00343147012478622,-9.52323091907572e-05
0.42,0.00336125560927915,-9.53670331854074e-05
0.421,0.00329167456285728,-9.4739961901878e-05
0.422,0.00322273675241918,-9.41128906183486e-05
0.423,0.00315445141866911,-9.34858193348192e-05
0.424,0.00308682728715423,-9.28587480512898e-05
0.425,0.00301987257919714,-9.22316767677604e-05
0.426,0.00295359502272215,-9.1604605484231e-05
0.427,0.00288800186297409,-9.09775342007016e-05
0.428,0.00282309987312846,-9.03504629171722e-05
0.429,0.00275889536479164,-8.97233916336428e-05
0.43,0.00269539419839021,-8.90963203501134e-05
0.431,0.00263260179344836,-8.80496522027658e-05
0.432,0.00257052313875232,-8.70029840554183e-05
0.433,0.00250916280240119,-8.59563159080708e-05
0.434,0.00244852494174317,-8.49096477607233e-05
0.435,0.00238861331319656,-8.38629796133757e-05
0.436,0.00232943128195488,-8.28163114660282e-05
0.437,0.00227098183157549,-8.17696433186807e-05
0.438,0.00221326757345116,-8.07229751713332e-05
0.439,0.00215629075616415,-7.96763070239856e-05
0.44,0.00210005327472243,-7.86296388766381e-05
0.441,0.00204455667967756,-7.74040315942017e-05
0.442,0.0019898021861241,-7.61784243117653e-05
0.443,0.00193579068258012,-7.49528170293289e-05
0.444,0.00188252273974887,-7.37272097468925e-05
0.445,0.00182999861916114,-7.2501602464456e-05
0.446,0.00177821828169862,-7.12759951820196e-05
0.447,0.00172718139599782,-7.00503878995832e-05
0.448,0.00167688734673493,-6.88247806171468e-05
0.449,0.00162733524279143,-6.75991733347104e-05
0.45,0.00157852392530058,-6.63735660522739e-05
0.451,0.00153045197557515,-6.51296253205088e-05
0.452,0.00148311772291627,-6.38856845887436e-05
0.453,0.00143651925230387,-6.26417438569784e-05
0.454,0.00139065441196889,-6.13978031252133e-05
0.455,0.00134552082084757,-6.01538623934481e-05
0.456,0.0013011158759182,-5.89099216616829e-05
0.457,0.00125743675942069,-5.76659809299178e-05
0.458,0.00121448044595937,-5.64220401981526e-05
0.459,0.00117224370948955,-5.51780994663874e-05
0.46,0.00113072313018824,-5.39341587346223e-05
0.461,0.00108991510120959,-5.27715460000457e-05
0.462,0.00104981583532562,-5.16089332654692e-05
0.463,0.00101042137145279,-5.04463205308926e-05
0.464,0.000971727581065032,-4.9283707796316e-05
0.465,0.000933730174493878,-4.81210950617395e-05
0.466,0.000896424707116398,-4.69584823271629e-05
0.467,0.000859806585431542,-4.57958695925864e-05
0.468,0.000823871073025691,-4.46332568580098e-05
0.469,0.000788613296428111,-4.34706441234333e-05
0.47,0.000754028250857086,-4.23080313888567e-05
0.471,0.000720110805857512,-4.1281692873541e-05
0.472,0.000686855710830758,-4.02553543582253e-05
0.473,0.000654257600457612,-3.92290158429096e-05
0.474,0.000622311000015172,-3.8202677327594e-05
0.475,0.000591010330588524,-3.71763388122783e-05
0.476,0.000560349914178106,-3.61500002969626e-05
0.477,0.000530323978703643,-3.51236617816469e-05
0.478,0.000500926662905562,-3.40973232663312e-05
0.479,0.000472152021144834,-3.30709847510155e-05
0.48,0.00044399402810216,-3.20446462356999e-05
0.481,0.000416446583377466,-3.11780725778742e-05
0.482,0.000389503515990688,-3.03114989200484e-05
0.483,0.000363158588784797,-2.94449252622227e-05
0.484,0.000337405502732086,-2.8578351604397e-05
0.485,0.000312237901144696,-2.77117779465712e-05
0.486,0.000287649373790407,-2.68452042887455e-05
0.487,0.000263633460914707,-2.59786306309197e-05
0.488,0.000240183657170169,-2.5112056973094e-05
0.489,0.000217293415454178,-2.42454833152683e-05
0.49,0.00019495615065604,-2.33789096574425e-05
0.491,0.000173165243314534,-2.26745916565098e-05
0.492,0.000151914043186961,-2.1970273655577e-05
0.493,0.000131195872730751,-2.12659556546442e-05
0.494,0.000111004030498688,-2.05616376537114e-05
0.495,9.13317944488381e-05,-1.98573196527786e-05
0.496,7.21724251702451e-05,-1.91530016518458e-05
0.497,5.35191690254714e-05,-1.84486836509131e-05
0.498,3.53652612110715e-05,-1.77443656499803e-05
0.499,1.77039287370749e-05,-1.70400476490475e-05
0.5,5.28393326565873e-07,-1.63357296481147e-05
